name,developer,state,lat,lon,capacity_mw,power_source,status,notes,source_url
Southern Ohio Data Center Campus,SoftBank,OH,39.06,-83.02,9200,behind_the_meter_gas,announced,"Proposed on the former Portsmouth Gaseous Diffusion Plant site in Pike County; paired with a dedicated 9.2 GW on-site natural gas power plant, one of the largest gas-fired facilities ever proposed. Financed by SoftBank.",https://www.ovabc.org/southern-ohio-data-center-how-a-10-gigawatt-ai-campus-will-transform-pike-county/
Meta Richland Parish Campus,Meta,LA,32.48,-91.77,2260,mixed,under_construction,"4-million-sq-ft campus that could scale to 5 GW eventually. Entergy Louisiana is building three combined-cycle gas turbines (2,260 MW combined) at Holly Ridge and Waterford to serve the load, alongside grid interconnection.",https://www.datacenterdynamics.com/en/news/entergy-breaks-ground-on-two-natural-gas-plants-for-metas-2gw-data-center-in-richland-parish-louisiana/
Stargate Abilene,"OpenAI / Oracle / SoftBank / Crusoe",TX,32.45,-99.73,1200,behind_the_meter_gas,under_construction,"Flagship Stargate site on the Lancium Clean Campus. Operates on a natural gas microgrid (permitted for 360 MW of on-site turbines) independent of the Oncor grid to bypass interconnection queue delays; expanding toward 1.2 GW.",https://www.datacenterfrontier.com/hyperscale/article/55276169/crusoe-adds-45-gw-natural-gas-to-fuel-ai-expands-abilene-data-center-to-12-gw
xAI Colossus,xAI,TN,35.02,-90.08,500,mixed,operating,"South Memphis supercomputer campus. Combines grid supply with ~35 on-site natural gas turbines (~420-500 MW) and Tesla Megapack battery storage; turbine count has drawn scrutiny for exceeding permitted limits.",https://newsletter.semianalysis.com/p/xais-colossus-2-first-gigawatt-datacenter
AWS Rainier (New Carlisle),Amazon Web Services,IN,41.71,-86.48,2200,grid,under_construction,"1,200-acre campus in St. Joseph County designed for 2.2 GW across ~30 buildings; first phase opened October 2025. Grid-supplied via Indiana utilities.",https://www.cnbc.com/2025/10/29/amazon-opens-11-billion-ai-data-center-project-rainier-in-indiana.html
Microsoft Fairwater (Mount Pleasant),Microsoft,WI,42.71,-87.88,3300,grid,under_construction,"Flagship AI data center campus in Racine County. Phase 1 (400 MW) completed June 2026; campus projected to reach 3.3 GW peak electrical load by late 2027. Grid-supplied.",https://aidatacenterindex.com/datacenters/microsoft-project-fairwater-wisconsin.html
Meta Prometheus (New Albany),Meta,OH,40.08,-82.81,1000,mixed,under_construction,"Billed as the world's first gigawatt-capable data center. Backed by ~400 MW of on-site private natural gas generation (Socrates South) plus nuclear power agreements with TerraPower, Oklo, and Vistra.",https://www.nbc4i.com/news/local-news/new-albany/meet-prometheus-worlds-highest-capacity-data-center-slated-to-open-in-ohio-in-2026/
AWS Madison County Mega Site (Canton),Amazon Web Services,MS,32.61,-90.04,1000,grid,under_construction,"~1 GW data center complex in Canton, part of a $25B Amazon investment across Mississippi. Backed by 1.3 GW of new solar/wind commitments with Entergy plus >700 diesel generators for backup.",https://www.aboutamazon.com/news/company-news/amazon-25-billion-mississippi-data-centers
Google Council Bluffs,Google,IA,41.26,-95.86,500,grid,operating,"One of Google's oldest and largest U.S. campuses, opened 2007, on the wind-heavy MidAmerican Energy grid.",https://aidatacenterindex.com/datacenters/google-iowa-council-bluffs-ai-data-center.html
Meta Prineville,Meta,OR,44.30,-120.83,1289,grid,operating,"One of Meta's first wholly-owned U.S. data center campuses; multiple buildings built to LEED Gold standard with PUE ~1.06. Grid-supplied.",https://www.blackridgeresearch.com/blog/largest-top-biggest-data-centers-in-united-states-list
Amazon / Energy Northwest SMR Campus,"Amazon Web Services / X-energy / Energy Northwest",WA,46.47,-119.35,960,other,announced,"Planned deployment of 12 X-energy Xe-100 small modular nuclear reactors (80 MWe each) near the Columbia Generating Station in Richland, targeting carbon-free power for AWS data centers.",https://www.datacenterdynamics.com/en/news/amazon-signs-deals-to-invest-in-nuclear-smrs-to-power-data-centers/
